pais;codigo;continente;ano;expectativa_vida;pib_per_capita;populacao
Togo;TGO;Africa;1971;46,6;1699;2267214
Trinidad and Tobago;TTO;North America;1971;65,3;13185;1000135
Tunisia;TUN;Africa;1971;54,8;3159;5182042
Turkey;TUR;Asia;1971;57,4;4715;36359956
Uganda;UGA;Africa;1971;46,9;1385;10616344
United Kingdom;GBR;Europe;1971;72,2;17440;55875904
United States;USA;North America;1971;71,1;24394;202907920
Uruguay;URY;South America;1971;69;7933;2805497
Venezuela;VEN;South America;1971;64,9;15192;11705678
Vietnam;VNM;Asia;1971;56,7;1202;42916624
Yemen;YEM;Asia;1971;41,5;2254;7024196
Zambia;ZMB;Africa;1971;52;1661;4399922
Zimbabwe;ZWE;Africa;1971;57,2;2157;5363424
Afghanistan;AFG;Asia;1972;38,4;1007;11286753
Albania;ALB;Europe;1972;66,4;3451;2455181
Algeria;DZA;Africa;1972;44,3;3746;14439750
Angola;AGO;Africa;1972;40,9;2729;6364736
Argentina;ARG;South America;1972;65,9;12170;24612798
Australia;AUS;Oceania;1972;71,8;19772;13300319
Austria;AUT;Europe;1972;70,6;17169;7542083
Bahrain;BHR;Asia;1972;66,4;6692;243159
Bangladesh;BGD;Asia;1972;49,6;807;69346712
Barbados;BRB;North America;1972;68,9;10567;243468
Belgium;BEL;Europe;1972;71,4;18336;9700295
Benin;BEN;Africa;1972;43,2;1640;3156412
Bolivia;BOL;South America;1972;47,5;3602;4793809
Bosnia and Herzegovina;BIH;Europe;1972;67,7;4661;3901896
Botswana;BWA;Africa;1972;56,3;1361;626618
Brazil;BRA;South America;1972;58;5480;101194392
Bulgaria;BGR;Europe;1972;70,9;8145;8700151
Burkina Faso;BFA;Africa;1972;40,1;1253;5805284
Burundi;BDI;Africa;1972;25,6;866;3579196
Cambodia;KHM;Asia;1972;40,2;920;6766292
Cameroon;CMR;Africa;1972;48,9;1612;6809472
Canada;CAN;North America;1972;72,8;20837;22222228
Cape Verde;CPV;Africa;1972;55,3;1457;296818
Central African Republic;CAF;Africa;1972;46,3;1368;2153622
Chad;TCD;Africa;1972;41,4;800;3824404
Chile;CHL;South America;1972;62,3;8520;10145762
China;CHN;Asia;1972;58,4;1431;862840384
Colombia;COL;South America;1972;62,6;5348;21898060
Comoros;COM;Africa;1972;46,3;966;256196
Congo;COG;Africa;1972;54,4;2582;1485280
Costa Rica;CRI;North America;1972;66,7;6564;1955556
Cote d'Ivoire;CIV;Africa;1972;45,7;2887;5979988
Croatia;HRV;Europe;1972;69,6;9631;4526430
Cuba;CUB;North America;1972;69,5;3253;9169294
Cyprus;CYP;Europe;1972;69,8;7809;647632
Democratic Republic of Congo;COD;Africa;1972;43,9;1235;21273414
Denmark;DNK;Europe;1972;73,5;21579;4981082
Djibouti;DJI;Africa;1972;48,5;4787;165247
Dominica;DMA;North America;1972;67,1;1674;69890
Dominican Republic;DOM;North America;1972;57,4;2928;4724807
Ecuador;ECU;South America;1972;58,2;4801;6533633
Egypt;EGY;Africa;1972;50,8;2047;36330772
El Salvador;SLV;North America;1972;53;3668;3798110
Equatorial Guinea;GNQ;Africa;1972;43,3;2007;305370
Eswatini;SWZ;Africa;1972;51,8;1889;467518
Ethiopia;ETH;Africa;1972;41,6;995;29891330
Finland;FIN;Europe;1972;70,9;16654;4639834
France;FRA;Europe;1972;72,3;19549;51410364
Gabon;GAB;Africa;1972;53,6;6559;622298
Gambia;GMB;Africa;1972;40,9;1334;560562
Germany;DEU;Europe;1972;71,2;18301;78643560
Ghana;GHA;Africa;1972;48;2235;9365950
Greece;GRC;Europe;1972;72,8;11795;8616664
Guatemala;GTM;North America;1972;51,6;5037;5744610
Guinea;GIN;Africa;1972;39,7;826;4372214
Guinea-Bissau;GNB;Africa;1972;38,7;1412;595955
Haiti;HTI;North America;1972;47,9;1635;4853118
Honduras;HND;North America;1972;55,6;2448;2956027
Hong Kong;HKG;Asia;1972;72,4;10632;4128332
Hungary;HUN;Europe;1972;69,7;8505;10376619
Iceland;ISL;Europe;1972;74,2;17366;209199
India;IND;Asia;1972;49;1329;582837952
Indonesia;IDN;Asia;1972;54,2;2117;121504136
Iran;IRN;Asia;1972;51,7;8247;30111578
Iraq;IRQ;Asia;1972;61,4;5297;10507318
Ireland;IRL;Europe;1972;71;10621;3013995
Israel;ISR;Asia;1972;71,6;15108;3120955
Italy;ITA;Europe;1972;72,1;16035;53995428
Jamaica;JAM;North America;1972;67,1;6150;1915306
Japan;JPN;Asia;1972;73,2;17110;108220400
Jordan;JOR;Asia;1972;62,3;3754;1704794
Kenya;KEN;Africa;1972;55;1524;12322909
Kuwait;KWT;Asia;1972;67,4;48283;913794
Laos;LAO;Asia;1972;44,2;886;2808303
Lebanon;LBN;Asia;1972;66,9;8228;2505964
Lesotho;LSO;Africa;1972;51,7;1108;1097247
Liberia;LBR;Africa;1972;41,5;4568;1541001
Libya;LBY;Africa;1972;57,5;6237;2012804
Luxembourg;LUX;Europe;1972;70,3;22236;346083
Madagascar;MDG;Africa;1972;48,3;1916;7051096
Malawi;MWI;Africa;1972;37,9;851;4865982
Malaysia;MYS;Asia;1972;64,1;3649;10801631
Mali;MLI;Africa;1972;33,9;971;6347159
Malta;MLT;Europe;1972;70,8;4299;315384
Mauritania;MRT;Africa;1972;51,7;1511;1191380
Mauritius;MUS;Africa;1972;60,5;5128;854043
Mexico;MEX;North America;1972;61,6;7256;53543432
Mongolia;MNG;Asia;1972;54;1256;1363842
Montenegro;MNE;Europe;1972;70,6;5206;541275
Morocco;MAR;Africa;1972;49,7;2660;16081446
Mozambique;MOZ;Africa;1972;41,6;2906;8860587
Myanmar;MMR;Asia;1972;51,5;1023;28551956
Namibia;NAM;Africa;1972;54,8;6156;800615
Nepal;NPL;Asia;1972;43,7;1034;13052224
Netherlands;NLD;Europe;1972;73,8;20079;13324182
New Zealand;NZL;Oceania;1972;71,8;18889;2920886
Nicaragua;NIC;North America;1972;48,6;4543;2603188
Niger;NER;Africa;1972;35,6;1282;4926325
Nigeria;NGA;Africa;1972;41,3;1908;58173832
North Macedonia;MKD;Europe;1972;65,6;7127;1701503
Norway;NOR;Europe;1972;74,3;17409;3933047
Oman;OMN;Asia;1972;49,6;6271;708057
Pakistan;PAK;Asia;1972;55,2;1455;62509568
Palestine;PSE;Asia;1972;56,6;3797;1166855
Panama;PAN;North America;1972;66,5;5571;1602657
Paraguay;PRY;South America;1972;62,9;3017;2521512
Peru;PER;South America;1972;56,7;6264;14292440
Philippines;PHL;Asia;1972;61,8;2954;39412484
Poland;POL;Europe;1972;70,5;7986;32979398
Portugal;PRT;Europe;1972;69,2;10130;8833265
Puerto Rico;PRI;North America;1972;71,3;11046;2829188
Romania;ROU;Europe;1972;68,5;3867;20382178
Russia;RUS;Europe;1972;67,7;9785;131456440
Rwanda;RWA;Africa;1972;46,5;1282;4135586
Saint Lucia;LCA;North America;1972;64,6;2279;106474
Sao Tome and Principe;STP;Africa;1972;57,3;2324;80850
Saudi Arabia;SAU;Asia;1972;54,8;15138;6724259
Senegal;SEN;Africa;1972;41,8;2289;4633465
Serbia;SRB;Europe;1972;67,2;7347;7296104
Seychelles;SYC;Africa;1972;59,9;4149;57070
Sierra Leone;SLE;Africa;1972;39,8;1525;2886639
Singapore;SGP;Asia;1972;69,2;8155;2131574
Slovenia;SVN;Europe;1972;68,8;14269;1769715
South Africa;ZAF;Africa;1972;56,3;6550;23698512
South Korea;KOR;Asia;1972;63,3;3387,890381;33976860
Spain;ESP;Europe;1972;73;10796;34515176
Sri Lanka;LKA;Asia;1972;65,8;2327;12914457
Sweden;SWE;Europe;1972;74,7;20725;8117718
Switzerland;CHE;Europe;1972;73,8;25356,91016;6261160
Syria;SYR;Asia;1972;61,9;7243;6768549
Taiwan;TWN;Asia;1972;69,8;4962;15617412
Tanzania;TZA;Africa;1972;47,3;945;14595704
Thailand;THA;Asia;1972;59,1;2786;37834384
Togo;TGO;Africa;1972;47,1;1709;2330709
Trinidad and Tobago;TTO;North America;1972;64,9;13753;1013043
Tunisia;TUN;Africa;1972;56,1;3645;5320160
Turkey;TUR;Asia;1972;58,1;4929;37188036
Uganda;UGA;Africa;1972;47;1364;10885572
United Kingdom;GBR;Europe;1972;72;18002;56057324
United States;USA;North America;1972;71,2;25414;205238384
Uruguay;URY;South America;1972;68,9;7643;2821096
Venezuela;VEN;South America;1972;65,4;15135;12061627
Vietnam;VNM;Asia;1972;53,1;1278;43906020
Yemen;YEM;Asia;1972;42,5;2383;7215839
Zambia;ZMB;Africa;1972;52,6;1761;4523591
Zimbabwe;ZWE;Africa;1972;57,4;2268;5532846
Afghanistan;AFG;Asia;1973;39;1011;11575308
Albania;ALB;Europe;1973;67,1;3623;2520442
Algeria;DZA;Africa;1973;45,1;3757;14786473
Angola;AGO;Africa;1973;41,3;2852;6578237
Argentina;ARG;South America;1973;66,3;12691;25020592
Australia;AUS;Oceania;1973;72,1;20527;13513318
Austria;AUT;Europe;1973;71,2;17908;7584024
Bahrain;BHR;Asia;1973;67,2;6975;256644
Bangladesh;BGD;Asia;1973;49,8;792;71144816
Barbados;BRB;North America;1973;69,2;10635;244650
Belgium;BEL;Europe;1973;71,6;19399;9727987
Benin;BEN;Africa;1973;43,6;1666;3227385
Bolivia;BOL;South America;1973;48;3757;4902250
Bosnia and Herzegovina;BIH;Europe;1973;68,2;4801;3943151
Botswana;BWA;Africa;1973;56,9;1589;657255
Brazil;BRA;South America;1973;58,5;6086;103666904
Bulgaria;BGR;Europe;1973;71,3;8423;8753492
Burkina Faso;BFA;Africa;1973;40,5;1172;5907748
Burundi;BDI;Africa;1973;37,3;921;3571455
Cambodia;KHM;Asia;1973;40;1239;6852365
Cameroon;CMR;Africa;1973;49,3;1599;6998691
Canada;CAN;North America;1973;73,1;22058;22502026
Cape Verde;CPV;Africa;1973;56;1470;299197
Central African Republic;CAF;Africa;1973;46,9;1403;2195908
Chad;TCD;Africa;1973;41,8;746;3912914
Chile;CHL;South America;1973;63,9;7911;10307850
China;CHN;Asia;1973;59,4;1513;881652096
Colombia;COL;South America;1973;63,1;5577;22396324
Comoros;COM;Africa;1973;46,9;1006;263742
Congo;COG;Africa;1973;54,7;2950;1532076
Costa Rica;CRI;North America;1973;68;6884;2006254
Cote d'Ivoire;CIV;Africa;1973;46,6;2974;6257381
Croatia;HRV;Europe;1973;70;9969;4544138
Cuba;CUB;North America;1973;70;3486;9297927
Cyprus;CYP;Europe;1973;70,2;7913;650706
Democratic Republic of Congo;COD;Africa;1973;44,1;1305;21853908
Denmark;DNK;Europe;1973;73,7;22228;5008581
Djibouti;DJI;Africa;1973;49,1;4801;177334
Dominica;DMA;North America;1973;68;1793;70352
Dominican Republic;DOM;North America;1973;58;3196;4851190
Ecuador;ECU;South America;1973;58,8;5244;6720451
Egypt;EGY;Africa;1973;50,9;2063;37120780
El Salvador;SLV;North America;1973;54;3767;3890643
Equatorial Guinea;GNQ;Africa;1973;43,5;2204;298058
Eswatini;SWZ;Africa;1973;52,5;1902;480673
Ethiopia;ETH;Africa;1973;41,6;1004;30694322
Finland;FIN;Europe;1973;71,4;17669;4666168
France;FRA;Europe;1973;72,5;20441;51814076
Gabon;GAB;Africa;1973;54,1;6935;635290
Gambia;GMB;Africa;1973;41,4;1411;577501
Germany;DEU;Europe;1973;71,4;19074;78667472
Ghana;GHA;Africa;1973;48,4;2227;9637207
Greece;GRC;Europe;1973;73;12202;8666390
Guatemala;GTM;North America;1973;53;5255;5895105
Guinea;GIN;Africa;1973;39,9;821;4445211
Guinea-Bissau;GNB;Africa;1973;39;1411;603213
Haiti;HTI;North America;1973;48,2;1678;4940713
Honduras;HND;North America;1973;54,4;2544;3046721
Hong Kong;HKG;Asia;1973;72,9;11717;4234756
Hungary;HUN;Europe;1973;69,6;8920;10410508
Iceland;ISL;Europe;1973;74,3;18277;212377
India;IND;Asia;1973;49,5;1360;596107456
Indonesia;IDN;Asia;1973;54,8;2375;124709056
Iran;IRN;Asia;1973;52,9;8706;30981904
Iraq;IRQ;Asia;1973;62;5982;10872140
Ireland;IRL;Europe;1973;71,2;10946;3062017
Israel;ISR;Asia;1973;71,7;15374;3214277
Italy;ITA;Europe;1973;72,1;16950;54379588
Jamaica;JAM;North America;1973;67,6;6583;1945324
Japan;JPN;Asia;1973;73,4;18226;109679472
Jordan;JOR;Asia;1973;62,9;3806;1767422
Kenya;KEN;Africa;1973;55,7;1546;12760411
Kuwait;KWT;Asia;1973;67,6;42542;970539
Laos;LAO;Asia;1973;44,5;944;2877563
Lebanon;LBN;Asia;1973;67,2;8397;2569851
Lesotho;LSO;Africa;1973;52,1;1364;1135633
Liberia;LBR;Africa;1973;41,9;4603;1582700
Libya;LBY;Africa;1973;58,3;6005;2084268
Luxembourg;LUX;Europe;1973;70,2;23820;349199
Madagascar;MDG;Africa;1973;48,8;1824;7268563
Malawi;MWI;Africa;1973;38,5;896;4996244
Malaysia;MYS;Asia;1973;64,6;4081;11062667
Mali;MLI;Africa;1973;34,6;926;6455258
Malta;MLT;Europe;1973;70,6;4442;316204
Mauritania;MRT;Africa;1973;51,9;1473;1227363
Mauritius;MUS;Africa;1973;60,9;5668;865378
Mexico;MEX;North America;1973;62,1;7597;55228200
Mongolia;MNG;Asia;1973;54,6;1328;1402316
Montenegro;MNE;Europe;1973;70,8;5137;547221
Morocco;MAR;Africa;1973;50,2;2700;16489462
Mozambique;MOZ;Africa;1973;41,7;2986;9123676
Myanmar;MMR;Asia;1973;51,9;1001;29165356
Namibia;NAM;Africa;1973;55,4;6177;824927
Nepal;NPL;Asia;1973;44;1009;13335966
Netherlands;NLD;Europe;1973;74,2;20851;13447575
New Zealand;NZL;Oceania;1973;71,7;19804;2980643
Nicaragua;NIC;North America;1973;55,7;4637;2682751
Niger;NER;Africa;1973;35,7;1039;5059388
Nigeria;NGA;Africa;1973;42;2012;59605448
North Macedonia;MKD;Europe;1973;66;7471;1725235
Norway;NOR;Europe;1973;74,4;18050;3960705
Oman;OMN;Asia;1973;50,9;5227;728604
Pakistan;PAK;Asia;1973;55,5;1521;64285632
Palestine;PSE;Asia;1973;34,7;3537;1195405
Panama;PAN;North America;1973;67,1;5719;1646584
Paraguay;PRY;South America;1973;63,1;3150;2583164
Peru;PER;South America;1973;57,1;6413;14674787
Philippines;PHL;Asia;1973;61,6;3131;40406232
Poland;POL;Europe;1973;70,5;8512;33270012
Portugal;PRT;Europe;1973;68,6;11258;8957960
Puerto Rico;PRI;North America;1973;71,6;11639;2876680
Romania;ROU;Europe;1973;67,9;4318;20628254
Russia;RUS;Europe;1973;67,7;10492;132191632
Rwanda;RWA;Africa;1973;45,9;1288;4259492
Saint Lucia;LCA;North America;1973;64,8;2268;108136
Sao Tome and Principe;STP;Africa;1973;57,9;2313;82488
Saudi Arabia;SAU;Asia;1973;55,9;17598;7088765
Senegal;SEN;Africa;1973;42,6;2096;4772044
Serbia;SRB;Europe;1973;67,6;7716;7355438
Seychelles;SYC;Africa;1973;60,6;4468;58378
Sierra Leone;SLE;Africa;1973;40,2;1553;2942336
Singapore;SGP;Asia;1973;69,6;8894;2168370
Slovenia;SVN;Europe;1973;69;15079;1785228
South Africa;ZAF;Africa;1973;56,7;6655;24382514
South Korea;KOR;Asia;1973;63,8;3822,045898;34659716
Spain;ESP;Europe;1973;72,7;11638;34898152
Sri Lanka;LKA;Asia;1973;65,9;2378;13169738
Sweden;SWE;Europe;1973;74,9;21509;8156938
Switzerland;CHE;Europe;1973;74,1;26003,71484;6307365
Syria;SYR;Asia;1973;60,7;6403;7003117
Taiwan;TWN;Asia;1973;69,9;5496;15933851
Tanzania;TZA;Africa;1973;48;945;15123510
Thailand;THA;Asia;1973;59,8;2987;38873064
Togo;TGO;Africa;1973;47,6;1591;2390915
Trinidad and Tobago;TTO;North America;1973;65,6;13844;1026564
Tunisia;TUN;Africa;1973;57,2;3540;5463656
Turkey;TUR;Asia;1973;58,5;5050;38028236
Uganda;UGA;Africa;1973;46,8;1331;11146108
United Kingdom;GBR;Europe;1973;72,2;19168;56166632
United States;USA;North America;1973;71,4;26602;207314768
Uruguay;URY;South America;1973;69,1;7885;2836824
Venezuela;VEN;South America;1973;65,9;15540;12424811
Vietnam;VNM;Asia;1973;56,8;1333;44891288
Yemen;YEM;Asia;1973;43,3;2614;7417741
Zambia;ZMB;Africa;1973;53,3;1693;4653293
Zimbabwe;ZWE;Africa;1973;57,4;2283;5712708
Afghanistan;AFG;Asia;1974;39,5;1039;11869881
Albania;ALB;Europe;1974;67,8;3637;2585457
Algeria;DZA;Africa;1974;46;3870;15153601
Angola;AGO;Africa;1974;41,7;2727;6802495
Argentina;ARG;South America;1974;66,6;13284;25449752
Australia;AUS;Oceania;1974;71,9;20698;13713392
Austria;AUT;Europe;1974;71,2;18583;7597028
Bahrain;BHR;Asia;1974;67,9;7291;270637
Bangladesh;BGD;Asia;1974;49,2;872;72947808
Barbados;BRB;North America;1974;69,5;10080;245861
Belgium;BEL;Europe;1974;72;20153;9749063
Benin;BEN;Africa;1974;44,1;1733;3301277
Bolivia;BOL;South America;1974;48,4;3854;5013765
Bosnia and Herzegovina;BIH;Europe;1974;68,9;5112;3983066
Botswana;BWA;Africa;1974;57,4;1656;691577
Brazil;BRA;South America;1974;58,9;6416;106167376
Bulgaria;BGR;Europe;1974;71,2;8630;8810681
Burkina Faso;BFA;Africa;1974;41,4;1132;6018147
Burundi;BDI;Africa;1974;43;904;3660036
Cambodia;KHM;Asia;1974;39,8;1049;6913410
Cameroon;CMR;Africa;1974;49,6;1632;7194702
Canada;CAN;North America;1974;73,1;22643;22812430
Cape Verde;CPV;Africa;1974;56,8;1497;301688
Central African Republic;CAF;Africa;1974;47,4;1333;2239318
Chad;TCD;Africa;1974;41,8;829;4000559
Chile;CHL;South America;1974;64,9;7857;10472748
China;CHN;Asia;1974;60,2;1519;899367680
Colombia;COL;South America;1974;63,6;5767;22897878
Comoros;COM;Africa;1974;47,5;1004;271724
Congo;COG;Africa;1974;55,1;2848;1580286
Costa Rica;CRI;North America;1974;68,5;7061;2058249
Cote d'Ivoire;CIV;Africa;1974;47,5;2931;6548928
Croatia;HRV;Europe;1974;70,3;10786;4561866
Cuba;CUB;North America;1974;70,6;3609;9413106
Cyprus;CYP;Europe;1974;55,2;6503;648594
Democratic Republic of Congo;COD;Africa;1974;44,4;1312;22448416
Denmark;DNK;Europe;1974;73,8;21919;5033574
Djibouti;DJI;Africa;1974;49,5;4414;191402
Dominica;DMA;North America;1974;68,8;1894;70840
Dominican Republic;DOM;North America;1974;58,7;3295;4978588
Ecuador;ECU;South America;1974;59,5;5392;6911130
Egypt;EGY;Africa;1974;51,8;2099;37930376
El Salvador;SLV;North America;1974;54,7;3912;3984052
Equatorial Guinea;GNQ;Africa;1974;40,2;2466;290565
Eswatini;SWZ;Africa;1974;53,1;2204;494633
Ethiopia;ETH;Africa;1974;39,5;993;31488614
Finland;FIN;Europe;1974;71,3;18109;4690582
France;FRA;Europe;1974;72,8;20902;52163552
Gabon;GAB;Africa;1974;54,6;9083;648926
Gambia;GMB;Africa;1974;42;1452;594918
Germany;DEU;Europe;1974;71,7;19228;78620536
Ghana;GHA;Africa;1974;48,8;2319;9918984
Greece;GRC;Europe;1974;73,5;11716;8729703
Guatemala;GTM;North America;1974;54;5461;6048169
Guinea;GIN;Africa;1974;40,1;848;4517078
Guinea-Bissau;GNB;Africa;1974;41,8;1458;623578
Haiti;HTI;North America;1974;48,4;1742;5030663
Honduras;HND;North America;1974;52,3;2797;3136544
Hong Kong;HKG;Asia;1974;73,5;11719;4342778
Hungary;HUN;Europe;1974;69,3;9111;10457951
Iceland;ISL;Europe;1974;74,5;19054;215291
India;IND;Asia;1974;50,2;1344;609721920
Indonesia;IDN;Asia;1974;55,4;2439;127945192
Iran;IRN;Asia;1974;53,9;9210;31895540
Iraq;IRQ;Asia;1974;60,9;6097;11243145
Ireland;IRL;Europe;1974;71,1;11225;3110101
Israel;ISR;Asia;1974;71,8;15980;3303723
Italy;ITA;Europe;1974;72,8;17607;54750684
Jamaica;JAM;North America;1974;67,8;6229;1974883
Japan;JPN;Asia;1974;73,8;17765;111100024
Jordan;JOR;Asia;1974;63,4;3995;1827591
Kenya;KEN;Africa;1974;55,6;1564;13203951
Kuwait;KWT;Asia;1974;67,9;34962;1030436
Laos;LAO;Asia;1974;45,5;958;2946890
Lebanon;LBN;Asia;1974;67,3;8383;2632884
Lesotho;LSO;Africa;1974;52,4;1414;1175376
Liberia;LBR;Africa;1974;42,4;4616;1626287
Libya;LBY;Africa;1974;59,6;6923;2179453
Luxembourg;LUX;Europe;1974;70,2;24503;351397
Madagascar;MDG;Africa;1974;49,2;1816;7491937
Malawi;MWI;Africa;1974;39,3;928;5134203
Malaysia;MYS;Asia;1974;65,2;4285;11335200
Mali;MLI;Africa;1974;35,4;883;6569275
Malta;MLT;Europe;1974;71,6;4863;317621
Mauritania;MRT;Africa;1974;52,2;1570;1264361
Mauritius;MUS;Africa;1974;61,3;6038;876746
Mexico;MEX;North America;1974;62,5;7801;56945880
Mongolia;MNG;Asia;1974;55,2;1342;1443134
Montenegro;MNE;Europe;1974;71,4;5394;553233
Morocco;MAR;Africa;1974;50,7;2791;16902386
Mozambique;MOZ;Africa;1974;42,1;2684;9404229
Myanmar;MMR;Asia;1974;52,2;1033;29751938
Namibia;NAM;Africa;1974;55,9;6387;850094
Nepal;NPL;Asia;1974;44,5;1052;13626308
Netherlands;NLD;Europe;1974;74,6;21514;13560532
New Zealand;NZL;Oceania;1974;71,9;20529;3042806
Nicaragua;NIC;North America;1974;55,8;5064;2769211
Niger;NER;Africa;1974;36;1105;5196585
Nigeria;NGA;Africa;1974;42,8;2179;61157940
North Macedonia;MKD;Europe;1974;66,6;7803;1749334
Norway;NOR;Europe;1974;74,8;18691;3985381
Oman;OMN;Asia;1974;52,1;5644;754684
Pakistan;PAK;Asia;1974;55,5;1533;66149172
Palestine;PSE;Asia;1974;58;4159;1225369
Panama;PAN;North America;1974;67,7;5695;1690680
Paraguay;PRY;South America;1974;63,2;3319;2648085
Peru;PER;South America;1974;57,5;6566;15057182
Philippines;PHL;Asia;1974;61,7;3154;41388328
Poland;POL;Europe;1974;71;8928;33578680
Portugal;PRT;Europe;1974;69,1;11234;9079609
Puerto Rico;PRI;North America;1974;71,6;11552;2924359
Romania;ROU;Europe;1974;69,1;4317;20889666
Russia;RUS;Europe;1974;67,7;10801;132970440
Rwanda;RWA;Africa;1974;45,3;1262;4386375
Saint Lucia;LCA;North America;1974;65,6;2356;109757
Sao Tome and Principe;STP;Africa;1974;58;2399;84205
Saudi Arabia;SAU;Asia;1974;57;19659;7483511
Senegal;SEN;Africa;1974;43,2;2118;4911424
Serbia;SRB;Europe;1974;68,1;8322;7416618
Seychelles;SYC;Africa;1974;61,3;4457;59640
Sierra Leone;SLE;Africa;1974;40,7;1581;2998854
Singapore;SGP;Asia;1974;70,1;9314;2202332
Slovenia;SVN;Europe;1974;69,3;16420;1800976
South Africa;ZAF;Africa;1974;57,1;6853;25077016
South Korea;KOR;Asia;1974;64,3;4112,601074;35319340
Spain;ESP;Europe;1974;73,1;12388;35329900
Sri Lanka;LKA;Asia;1974;66;2418;13418276
Sweden;SWE;Europe;1974;75;22132;8193157
Switzerland;CHE;Europe;1974;74,4;25718,26953;6341220
Syria;SYR;Asia;1974;63,1;7685;7244912
Taiwan;TWN;Asia;1974;70,4;5455;16243908
Tanzania;TZA;Africa;1974;48,3;937;15671323
Thailand;THA;Asia;1974;60,6;3045;39900960
Togo;TGO;Africa;1974;48,1;1612;2450343
Trinidad and Tobago;TTO;North America;1974;66,8;14430;1040297
Tunisia;TUN;Africa;1974;58,3;3735;5613122
Turkey;TUR;Asia;1974;59,1;5353;38863424
Uganda;UGA;Africa;1974;46,6;1302;11428675
United Kingdom;GBR;Europe;1974;72,4;18903;56233776
United States;USA;North America;1974;71,9;26286;209277968
Uruguay;URY;South America;1974;69,2;8176;2853594
Venezuela;VEN;South America;1974;66,5;15943;12796220
Vietnam;VNM;Asia;1974;55,8;1248;45898700
Yemen;YEM;Asia;1974;44,3;2703;7630197
Zambia;ZMB;Africa;1974;53,9;1776;4789047
Zimbabwe;ZWE;Africa;1974;57,5;2275;5903535
Afghanistan;AFG;Asia;1975;40,1;1074;12157390
Albania;ALB;Europe;1975;68,3;3649;2650128
Algeria;DZA;Africa;1975;47;4020;15724698
Angola;AGO;Africa;1975;41,2;1710;7032728
Argentina;ARG;South America;1975;67,1;12946;25875562
Australia;AUS;Oceania;1975;72,8;20993;13886865
Austria;AUT;Europe;1975;71,3;18564;7576929
Bahrain;BHR;Asia;1975;68,5;6252;285125
Bangladesh;BGD;Asia;1975;50,3;843;74700344
Barbados;BRB;North America;1975;69,9;9825;247096
Belgium;BEL;Europe;1975;72;19831;9763432
Benin;BEN;Africa;1975;44,7;1570;3378701
Bolivia;BOL;South America;1975;48,8;4010;5127783
Bosnia and Herzegovina;BIH;Europe;1975;69,4;5247;4022094
Botswana;BWA;Africa;1975;58;1712;727933
Brazil;BRA;South America;1975;59,4;6582;108700512
Bulgaria;BGR;Europe;1975;71;9295;8860971
Burkina Faso;BFA;Africa;1975;42,3;1068;6138449
Burundi;BDI;Africa;1975;43;883;3749235
Cambodia;KHM;Asia;1975;12;925;6727925
Cameroon;CMR;Africa;1975;49,7;1677;7397421
Canada;CAN;North America;1975;73,5;22819;23136250
Cape Verde;CPV;Africa;1975;57,9;1237;304382
Central African Republic;CAF;Africa;1975;47,9;1323;2283931
Chad;TCD;Africa;1975;41,9;952;4084114
Chile;CHL;South America;1975;66,3;6731;10639534
China;CHN;Asia;1975;60,9;1594;915124672
Colombia;COL;South America;1975;64,3;5772;23403732
Comoros;COM;Africa;1975;46,6;1038;280044
Congo;COG;Africa;1975;55,3;2745;1624940
Costa Rica;CRI;North America;1975;69,4;7007;2111855
Cote d'Ivoire;CIV;Africa;1975;48,3;2812;6853986
Croatia;HRV;Europe;1975;70,6;11053;4579433
Cuba;CUB;North America;1975;71,1;3733;9514307
Cyprus;CYP;Europe;1975;70,5;5528;644990
Democratic Republic of Congo;COD;Africa;1975;44,5;1213;23052716
Denmark;DNK;Europe;1975;74,1;21712;5058203
Djibouti;DJI;Africa;1975;49,9;4691;208591
Dominica;DMA;North America;1975;69,2;1940;71319
Dominican Republic;DOM;North America;1975;59,2;3365;5106460
Ecuador;ECU;South America;1975;60,2;5514;7105791
Egypt;EGY;Africa;1975;52,6;2265;38775584
El Salvador;SLV;North America;1975;54,9;4030;4076754
Equatorial Guinea;GNQ;Africa;1975;35,8;3080;283272
Eswatini;SWZ;Africa;1975;53,8;2856;509545
Ethiopia;ETH;Africa;1975;39,4;972;32252786
Finland;FIN;Europe;1975;71,8;18237;4711384
France;FRA;Europe;1975;72,9;20653;52450032
Gabon;GAB;Africa;1975;55;9985;663346
Gambia;GMB;Africa;1975;42,4;1497;612922
Germany;DEU;Europe;1975;71,5;19193;78513512
Ghana;GHA;Africa;1975;49,2;1988;10209847
Greece;GRC;Europe;1975;73,4;12309;8805416
Guatemala;GTM;North America;1975;54,8;5439;6201738
Guinea;GIN;Africa;1975;40,6;854;4588011
Guinea-Bissau;GNB;Africa;1975;42,1;1479;659640
Haiti;HTI;North America;1975;48,7;1726;5124563
Honduras;HND;North America;1975;57,5;2764;3231637
Hong Kong;HKG;Asia;1975;73,6;11456;4451227
Hungary;HUN;Europe;1975;69,4;9253;10520241
Iceland;ISL;Europe;1975;75,5;18935;218080
India;IND;Asia;1975;50,8;1430;623524224
Indonesia;IDN;Asia;1975;56;2386;131213216
Iran;IRN;Asia;1975;54,8;9377;32856976
Iraq;IRQ;Asia;1975;61,5;6878;11617631
Ireland;IRL;Europe;1975;71,7;11662;3157921
